Year, Category, Country, Commodity, Amount
1996,"Compensated cross-price elasticity with change in food prices","Albania","Clothing & footwear",0.22
1996,"Compensated cross-price elasticity with change in food prices","Albania","Education",0.26
1996,"Compensated cross-price elasticity with change in food prices","Albania","Gross rent, fuel & power",0.29
1996,"Compensated cross-price elasticity with change in food prices","Albania","House furnishing & operations",0.29
1996,"Compensated cross-price elasticity with change in food prices","Albania","Medical care",0.34
1996,"Compensated cross-price elasticity with change in food prices","Albania","Other",0.34
1996,"Compensated cross-price elasticity with change in food prices","Albania","Recreation",0.39
1996,"Compensated cross-price elasticity with change in food prices","Albania","Transport & communication",0.30
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Clothing & footwear",0.14
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Education",0.16
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Gross rent, fuel & power",0.18
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","House furnishing & operations",0.18
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Medical care",0.20
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Other",0.20
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Recreation",0.21
1996,"Compensated cross-price elasticity with change in food prices","Antigua & Barbuda","Transport & communication",0.18
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Clothing & footwear",0.10
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Education",0.12
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Gross rent, fuel & power",0.13
1996,"Compensated cross-price elasticity with change in food prices","Argentina","House furnishing & operations",0.13
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Medical care",0.15
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Other",0.15
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Recreation",0.15
1996,"Compensated cross-price elasticity with change in food prices","Argentina","Transport & communication",0.13
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Clothing & footwear",0.23
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Education",0.27
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Gross rent, fuel & power",0.31
1996,"Compensated cross-price elasticity with change in food prices","Armenia","House furnishing & operations",0.31
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Medical care",0.37
