Year,Category,Country,CommodityName,Amount
1996,Compensated cross-price elasticity with change in food prices,Albania,Clothing & footwear,0.22282608
1996,Compensated cross-price elasticity with change in food prices,Albania,Education,0.26149561
1996,Compensated cross-price elasticity with change in food prices,Albania,"Gross rent, fuel & power",0.29640408
1996,Compensated cross-price elasticity with change in food prices,Albania,House furnishing & operations,0.29537234
1996,Compensated cross-price elasticity with change in food prices,Albania,Medical care,0.34762661
1996,Compensated cross-price elasticity with change in food prices,Albania,Other,0.34304149
1996,Compensated cross-price elasticity with change in food prices,Albania,Recreation,0.39134468
1996,Compensated cross-price elasticity with change in food prices,Albania,Transport & communication,0.30021053
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Clothing & footwear,0.14118564
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Education,0.16599455
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,"Gross rent, fuel & power",0.18376167
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,House furnishing & operations,0.18328667
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Medical care,0.2043179
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Other,0.20269097
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Recreation,0.21816864
1996,Compensated cross-price elasticity with change in food prices,Antigua & Barbuda,Transport & communication,0.18549056
1996,Compensated cross-price elasticity with change in food prices,Argentina,Clothing & footwear,0.10667332
1996,Compensated cross-price elasticity with change in food prices,Argentina,Education,0.12557061
1996,Compensated cross-price elasticity with change in food prices,Argentina,"Gross rent, fuel & power",0.13790656
1996,Compensated cross-price elasticity with change in food prices,Argentina,House furnishing & operations,0.13758863
1996,Compensated cross-price elasticity with change in food prices,Argentina,Medical care,0.15108886
1996,Compensated cross-price elasticity with change in food prices,Argentina,Other,0.15008503
1996,Compensated cross-price elasticity with change in food prices,Argentina,Recreation,0.1593783
1996,Compensated cross-price elasticity with change in food prices,Argentina,Transport & communication,0.13905849
1996,Compensated cross-price elasticity with change in food prices,Armenia,Clothing & footwear,0.23625252
1996,Compensated cross-price elasticity with change in food prices,Armenia,Education,0.27720384
1996,Compensated cross-price elasticity with change in food prices,Armenia,"Gross rent, fuel & power",0.31568883
1996,Compensated cross-price elasticity with change in food prices,Armenia,House furnishing & operations,0.31452991
1996,Compensated cross-price elasticity with change in food prices,Armenia,Medical care,0.374951
1996,Compensated cross-price elasticity with change in food prices,Armenia,Other,0.3695046
1996,Compensated cross-price elasticity with change in food prices,Armenia,Recreation,0.42835805
1996,Compensated cross-price elasticity with change in food prices,Armenia,Transport & communication,0.31997604
